Age,AllClonesEntered,AllUsefulGlomPict,DevStage,FixDate,FixTubeCode,Fluorophores,Genotype,HSAge,HSCode,HSMidpoint,HSWindowSize,HSwrt,LayDate,MountDate,NumBrains,NumClonesEntered,NumImagesEntered,NumOrigin,NumScheme,PrimAbs,Serial,Sex,SlideKey,SlideNotes,Temp,TotalClonesEntered,TotalNumBrains,CreatorName,CreatedDate,ModifierName,ModifiedDate
"","","","Adult","","","Alexa488Alexa568EGFP","G13 GH146 FLP122 MARCM","24-32","1 May","-4","-56","Emb","","6/30/2004","30","3","","Top Left","Z type","Rat a mCD8mAb nc82","10","F","ECD","","16","3590","47110","Gregory Jefferis","7/2/2004","Elizabeth Marin","7/21/2004"
"","","","Adult","","040625.3","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","66-72","B2","-3","-138","ALH","","7/5/2004","44","14","","Top Left","Z type","Rat a mCD8mAb nc82","12","M","EBH","","25","3590","47110","Liqun Luo","7/6/2004","Gregory Jefferis","8/22/2004"
"","","","Adult","","040626.1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","66-72","B2","-3","-138","ALH","","7/5/2004","43","4","","Top Left","Z type","Rat a mCD8mAb nc82","13","F","EBI","","25","3590","47110","Liqun Luo","7/6/2004","Gregory Jefferis","8/22/2004"
"","","","Adult","","040627.1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","60-66","A3","-3","-126","ALH","","7/5/2004","31","3","","Top Left","Z type","Rat a mCD8mAb nc82","14","M","EBJ","","25","3590","47110","Liqun Luo","7/6/2004","Gregory Jefferis","8/22/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","024-032","2-May","28","8","Emb","","7/6/2004","110","60","","Top Left","Z type","Rat a mCD8mAb nc82","15","MF","DAB","0521-1","16","3590","47110","Elizabeth Marin","7/6/2004","Elizabeth Marin","7/16/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","60-66","A3","-3","-126","ALH","","7/6/2004","32","3","","Top Left","Z type","Rat a mCD8mAb nc82","16","M","EBK","","25","3590","47110","Liqun Luo","7/12/2004","Gregory Jefferis","8/22/2004"
"","","","Adult","","040629-3","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","60-66","A3","-3","-126","ALH","","7/6/2004","20","2","","Top Left","Z type","Rat a mCD8mAb nc82","17","F","EBL","","25","3590","47110","Liqun Luo","7/12/2004","Liqun Luo","7/12/2004"
"","","","Adult","","040512-2","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","66-68","“A”","-1","-134","ALH","","7/8/2004","47","0","","Top Left","Z type","Rat a mCD8mAb nc82","18","F","EBM","","25","3590","47110","Liqun Luo","7/12/2004","Liqun Luo","7/12/2004"
"","","","Adult","","040703-1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","42-48","A1","-3","-90","ALH","","7/9/2004","35","0","","Top Left","Z type","Rat a mCD8mAb nc82","19","F","EBN","","25","3590","47110","Liqun Luo","7/12/2004","Liqun Luo","7/12/2004"
"","","","Adult","","040520-1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","","","","","Emb","","7/8/2004","28","1","","Top Left","Z type","Rat a mCD8mAb nc82","20","F","ECE","","16","3590","47110","Liqun Luo","7/12/2004","Elizabeth Marin","7/22/2004"
"","","","L3","","040704.1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","54-60","A2","-3","-114","ALH","","7/12/2004","62","19","","Top Left","Z type","Rat a mCD8mAb nc82","21","M","EBO","Entering interesting singles only (GJ040822)","25","3590","47110","Liqun Luo","7/13/2004","Gregory Jefferis","8/22/2004"
"","","","Adult","","040704.3","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","54-60","A2","-3","-114","ALH","","7/12/2004","41","0","","Top Left","Z type","Rat a mCD8mAb nc82","22","F","EBP","","25","3590","47110","Liqun Luo","7/13/2004","Liqun Luo","7/13/2004"
"","","","Adult","","040704.4","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","72-78","B","-3","-150","ALH","","7/12/2004","32","0","","Top Left","Z type","Rat a mCD8mAb nc82","23","M","EBQ","","25","3590","47110","Liqun Luo","7/13/2004","Liqun Luo","7/13/2004"
"","","","Adult","","040705.1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","72-78","B","-3","-150","ALH","","7/12/2004","34","3","","Top Left","Z type","Rat a mCD8mAb nc82","24","F","EBR","","25","3590","47110","Liqun Luo","7/13/2004","Liqun Luo","7/13/2004"
"","","","Adult","","0530.1","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","","","","","Emb","","7/14/2004","34","5","","Top Left","Z type","Rat a mCD8mAb nc82","25","F","ECF","","16","3590","47110","Liqun Luo","7/14/2004","Elizabeth Marin","7/22/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","024-032","1-May","28","8","Emb","","7/16/2004","115","74","","Top Left","Z type","Rat a mCD8mAb nc82","26","F","DAC","0520-1","16","3590","47110","Elizabeth Marin","7/16/2004","Elizabeth Marin","7/17/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","029.5-037.5","3-May","18.25","-21.5","Emb","","7/20/2004","","63","","Top Left","Z type","Rat a mCD8mAb nc82","27","F","DAD","0523-2","16","3590","47110","Elizabeth Marin","7/20/2004","Elizabeth Marin","7/20/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","","5-May","","","Emb","","7/22/2004","","1","","Top Left","Z type","Rat a mCD8mAb nc82","28","F","ECH","","16","3590","47110","Elizabeth Marin","7/22/2004","Elizabeth Marin","7/22/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","","29-Apr","","","Emb","","7/22/2004","98","13","","Top Left","Z type","Rat a mCD8mAb nc82","29","MF","DAE","0518-3","16","3590","47110","Elizabeth Marin","7/22/2004","Elizabeth Marin","7/22/2004"
"","","","Adult","","","EGFPAlexa488Alexa568","G13 GH146 FLP122 MARCM","","30-Apr","","","Emb","","7/22/2004","95","41","","Top Left","Z type","Rat a mCD8mAb nc82","30","MF","DAF","0519-2","16","3590","47110","Elizabeth Marin","7/22/2004","Elizabeth Marin","7/24/2004"
"","","","Adult","","040624.1","Alexa488Alexa568Alexa568","NP3060/CD8;CD8","","","","","ALH","","8/19/2004","9","0","","Top Left","Z type","Rat a mCD8mAb nc82","31","M","EAE","","25","3590","47110","Liqun Luo","8/20/2004","Liqun Luo","8/20/2004"
"","","","Adult","","","EGFP","MZ019xCD8GFP","","","","","ALH","","","","0","","Top Left","C type","","","F","ABG","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"11","","","L3","1/15/2000","","EGFPCy3FITC","GH146xCD8GFP","","","","","ALH","1/4/2000","1/17/2000","5","0","","Top Left","Z type","","","MF","ACE","1 male on left","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"20","","","L3","1/24/2000","","EGFPCy3Alexa488","GH146xCD8GFP","","","","","ALH","1/4/2000","1/26/2000","5","0","","Top Left","Z type","","","F","ACF","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"168","Yes","","Adult","6/16/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","153-176","B4","164.5","23","ALH","","7/6/2000","13","0","","Top Left","Z type","","","M","AEB","no clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"168","Yes","","Adult","6/16/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","129-151","B2","140","22","ALH","","7/6/2000","7","0","","Top Left","Z type","","","F","AEC","no clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"168","Yes","","Adult","6/16/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","129-151","B2","140","22","ALH","","7/6/2000","1","0","","Top Left","Z type","","","M","AED","no clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"169","Yes","","Adult","6/17/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","037-048","E2","42.5","11","ALH","","7/6/2000","11","14","","Top Left","Z type","","","M","AEE","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"169","","","Adult","6/17/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","060-071","E3","65.5","11","ALH","","7/6/2000","?","5","","Top Left","Z type","","","MF","AEF","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"170","Yes","","Adult","6/18/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","084-095","E4","89.5","11","ALH","","7/6/2000","8","7","","Top Left","Z type","","","M","AEG","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"170","Yes","","Adult","6/18/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","037-048","E2","42.5","11","ALH","","7/6/2000","2","3","","Top Left","Z type","","","F","AEH","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"170","","","Adult","6/18/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","084-095","E4","89.5","11","ALH","","7/6/2000","10","9","","Top Left","Z type","","","F","AEI","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","Yes","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","002-004","F1","3","2","ALH","","7/6/2000","3","5","","Top Left","Z type","","","F","AEJ","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","002-004","F1","3","2","ALH","","7/6/2000","8","6","","Top Left","Z type","","","M","AEK","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","Yes","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","004-006","F2","5","2","ALH","","7/6/2000","9","10","","Top Left","Z type","mAb nc82Rat a mCD8","","M","AEL","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","Yes","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","006-008","F3","7","2","ALH","","7/7/2000","8","10","","Top Left","Z type","","","M","AEM","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","Yes","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","006-008","F3","7","2","ALH","","7/7/2000","11","7","","Top Left","Z type","","","F","AEN","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"171","","","Adult","6/19/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","004-006","F2","5","2","ALH","","7/7/2000","5","2","","Top Left","Z type","","","F","AEO","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"172","Yes","","Adult","6/20/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","020-022","G1","21","2","ALH","","7/7/2000","8","12","","Top Left","Z type","","","M","AEP","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"182","","","Adult","6/30/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","034-036","K6","35","2","ALH","","7/7/2000","6","8","","Top Left","Z type","","","F","AEQ","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"173","Yes","","Adult","6/21/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","008-010","F4","9","2","ALH","","7/7/2000","8","6","","Top Left","Z type","mAb nc82Rat a mCD8","","F","AER","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"175","Yes","","Adult","6/23/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","016-018","H1","17","2","ALH","","7/7/2000","16","19","","Top Left","Z type","mAb nc82Rat a mCD8","","F","AES","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"176","Yes","","Adult","6/24/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","008-010","F4","9","2","ALH","","7/7/2000","12","8","","Top Left","Z type","","","M","AET","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"178","Yes","","Adult","6/26/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","032-034","K5","33","2","ALH","","7/7/2000","3","7","","Top Left","Z type","","","M","AGA","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"178","Yes","","Adult","6/26/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","032-034","K5","33","2","ALH","","7/7/2000","4","3","","Top Left","Z type","","","F","AGB","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"180","Yes","","Adult","6/28/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","024-026","K1","25","2","ALH","","7/7/2000","7","8","","Top Left","Z type","","","F","AGC","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"180","Yes","","Adult","6/28/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","024-026","K1","25","2","ALH","","7/7/2000","4","8","","Top Left","Z type","mAb nc82Rat a mCD8","","M","AGD","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"182","Yes","","Adult","6/30/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","034-036","K6","35","2","ALH","","7/7/2000","7","8","","Top Left","Z type","","","M","AGE","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"166","","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","001-011","A1","6","10","ALH","","6/14/2000","5","1","","Top Left","Z type","","","M","ADJ","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"166","","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","001-011","A1","6","10","ALH","","6/14/2000","13","20","","Top Left","Z type","","","M","ADI","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"166","","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","049-060","A3","54.5","11","ALH","","6/14/2000","13","22","","Top Left","Z type","","","M","ADH","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"167","","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","097-107","A5","102","10","ALH","","6/14/2000","14","1","","Top Left","Z type","","","M","ADM","Highly worth taking photos - interesting terminal clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"167","","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","074-084","A4","79","10","ALH","","6/15/2000","10","3","","Top Left","Z type","","","M","ADK","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"167","","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","074-084","A4","79","10","ALH","","6/15/2000","3","1","","Top Left","Z type","","","F","ADQ","No clones at all","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"167","","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","097-107","A5","102","10","ALH","","6/15/2000","6","1","","Top Left","Z type","","","F","ADR","IGNORE!  There seems to be a problem with this slide - must have been an identity mix up. ","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"167","Yes","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","153-176","B4","164.5","23","ALH","","6/15/2000","9","0","","Top Left","Z type","","","F","ADN","no clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"168","Yes","","Adult","6/16/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","142-164","B3","153","22","ALH","","6/25/2000","11","0","","Top Left","Z type","","","F","ADS","No Clones at all","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"168","Yes","","Adult","6/16/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","142-164","B3","153","22","ALH","","6/25/2000","16","0","","Top Left","Z type","","","M","ADT","0 clones","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"170","","","Adult","6/18/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","012-023","E1","17.5","11","ALH","","6/18/2000","21","25","","Top Left","Z type","","","F","ADO","Nice slide - 5 single cell clones all appear to be same glomerulus","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"170","","","Adult","6/18/2000","","EGFPCy3Alexa488","G13 GH146 MARCM","012-023","E1","17.5","11","ALH","","6/18/2000","8","9","","Top Left","Z type","","","M","ADP","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"17","","","Adult","6/21/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","020-022","G1","21","2","ALH","6/4/2000","6/25/2000","8","2","","Top Left","Z type","","","F","AFA","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"17","","","24-26h ALH","6/21/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","016-018","H1","17","2","ALH","6/4/2000","6/25/2000","9","12","","Top Left","Z type","","","M","AFB","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"0","","","Adult","6/12/2000","","EGFPCy3","G13 GH146 MARCM","000-002","- (1st HS of June 2000)","1","2","ALH","6/12/2000","","13","6","","Top Left","Z type","Rat a mCD8","","F","ADE","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"0","","","Adult","6/12/2000","","EGFPCy3","G13 GH146 MARCM","000-002","- (1st HS of June 2000)","1","2","ALH","6/12/2000","7/31/2000","12","10","","Top Left","Z type","","","M","ADF","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"13","","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","001-011","A1","6","10","ALH","6/1/2000","6/14/2000","8","3","","Top Left","Z type","","","F","AFC","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"13","Yes","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","025-036","A2","30.5","11","ALH","6/1/2000","6/14/2000","6","4","","Top Left","Z type","","","F","AFD","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"13","Yes","","Adult","6/14/2000","","EGFPCy3","G13 GH146 MARCM","049-060","A3","54.5","11","ALH","6/1/2000","6/26/2000","2","3","","Top Left","Z type","","","F","AFE","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"14","Yes","","Adult","6/15/2000","","EGFPCy3","G13 GH146 MARCM","117-139","B1","128","22","ALH","6/1/2000","6/26/2000","3","0","","Top Left","Z type","","","MF","AFF","No clones in 3 sides","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"16","","","Adult","7/12/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","000-002","O1","1","2","ALH","6/26/2000","","9","3","","Top Left","Z type","","","F","AFH","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"24","Yes","","Adult","7/21/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","030-032","T2.2","31","2","ALH","6/27/2000","7/25/2000","21","24","","Top Left","Z type","","","M","AFI","NB -> RT after hatching","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"24","Yes","","Adult","7/22/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","018-020","X1","19","2","ALH","6/28/2000","","16","19","","Top Left","Z type","","","M","AFJ","NB -> RT after hatching","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"24","Yes","","Adult","7/22/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","018-020","X1","19","2","ALH","6/28/2000","","13","21","","Top Left","Z type","","","M","AFK","NB -> RT after hatching","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"25","Yes","","Adult","7/23/2000","","EGFPAlexa488Cy3","G13 GH146 MARCM","012-014","Z,AB","13","2","ALH","6/28/2000","","17","22","","Top Left","Z type","","","M","AFL","NB -> RT after hatching","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"","","","Adult","","","EGFPAlexa488Cy3","G13 GH146 CD8","","","","","ALH","","8/2/2000","6","0","","Top Left","Z type","","","MF","AFM","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"","","","Adult","","","EGFPAlexa488Cy3","G13 GH146 CD8 / l(2)3563","","","","","ALH","","8/4/2000","8","0","","Top Left","Z type","","","MF","AFN","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"228","","","L3","8/15/2000","","EGFPAlexa488Alexa568","G13 GH146 MARCM","002-004","","3","2","ALH","","8/17/2000","19","2","","Top Left","Z type","Rat a mCD8mAb nc82","","M","AFO","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"226","","","L3","8/13/2000","","Cy3EGFP","G13 GH146 MARCM","002-004","","3","2","ALH","","8/17/2000","","0","","Top Left","Z type","Rat a mCD8","","F","AFP","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"192","","","Adult","7/10/2000","","Alexa488Cy3","G13 GH146 MARCM","000-002","O1 ","1","2","ALH","","8/17/2000","17","0","","Top Left","Z type","Rat a mCD8mAb nc82","10-1","F","AFQ","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"","","","Adult","","","","G13 GH146 MARCM","016-018","T1","17","2","ALH","","8/17/2000","16","0","","Top Left","Z type","","","M","AFS","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"230","","","Pupa 24h","8/17/2000","","Cy3Alexa488EGFP","G13 GH146 Mix MARCM","002-004","Approx BH","3","2","ALH","","8/18/2000","1","2","","Top Left","Z type","Rat a mCD8Rat a mCD8","","MF","AGH","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
"","","","Pupa 24/48h","","","Cy3Alexa488EGFP","G13 GH146 Mix MARCM","002-004","","3","2","ALH","","8/18/2000","6","2","","Top Left","Z type","Rat a mCD8Rat a mCD8","","MF","AGG","","25","3590","47110","Gregory Jefferis","8/21/2004","Gregory Jefferis","8/21/2004"
